Starting Training: 488 updates expected.
Update 130/488 | True Score: 796.57 | Optim Score: 740.46 | Std: 0.5890
Update 131/488 | True Score: 706.53 | Optim Score: 663.05 | Std: 0.5856
Update 132/488 | True Score: 616.57 | Optim Score: 563.96 | Std: 0.5909
Update 133/488 | True Score: 825.93 | Optim Score: 773.61 | Std: 0.5948
Update 134/488 | True Score: 874.22 | Optim Score: 821.17 | Std: 0.5939
Update 135/488 | True Score: 719.00 | Optim Score: 666.87 | Std: 0.6053
Update 136/488 | True Score: 944.74 | Optim Score: 892.59 | Std: 0.6043
Update 137/488 | True Score: 688.36 | Optim Score: 646.88 | Std: 0.6040
Update 138/488 | True Score: 913.88 | Optim Score: 861.15 | Std: 0.5920
Update 139/488 | True Score: 921.01 | Optim Score: 867.59 | Std: 0.5908
Update 140/488 | True Score: 835.01 | Optim Score: 780.86 | Std: 0.5846
Update 141/488 | True Score: 812.32 | Optim Score: 758.78 | Std: 0.5904
Update 142/488 | True Score: 586.96 | Optim Score: 542.39 | Std: 0.5968
Update 143/488 | True Score: 750.41 | Optim Score: 696.50 | Std: 0.6078
Update 144/488 | True Score: 709.77 | Optim Score: 654.90 | Std: 0.6136
Update 145/488 | True Score: 628.13 | Optim Score: 575.19 | Std: 0.6069
Update 146/488 | True Score: 686.57 | Optim Score: 633.66 | Std: 0.6062
Update 147/488 | True Score: 599.93 | Optim Score: 550.14 | Std: 0.6033
Update 148/488 | True Score: 549.09 | Optim Score: 507.73 | Std: 0.6086
Update 149/488 | True Score: 668.09 | Optim Score: 616.24 | Std: 0.6068
Update 150/488 | True Score: 674.12 | Optim Score: 625.41 | Std: 0.6080
Update 151/488 | True Score: 804.76 | Optim Score: 751.94 | Std: 0.6142
Update 152/488 | True Score: 721.75 | Optim Score: 679.32 | Std: 0.6302
Update 153/488 | True Score: 879.39 | Optim Score: 827.12 | Std: 0.6226
Update 154/488 | True Score: 954.29 | Optim Score: 900.00 | Std: 0.6274
Update 155/488 | True Score: 783.64 | Optim Score: 732.29 | Std: 0.6348
Update 156/488 | True Score: 734.40 | Optim Score: 692.50 | Std: 0.6239
Update 157/488 | True Score: 882.10 | Optim Score: 829.72 | Std: 0.6207
Update 158/488 | True Score: 912.39 | Optim Score: 862.09 | Std: 0.6185
Update 159/488 | True Score: 912.45 | Optim Score: 861.99 | Std: 0.6062
Update 160/488 | True Score: 740.07 | Optim Score: 702.79 | Std: 0.6248
Update 161/488 | True Score: 819.62 | Optim Score: 770.95 | Std: 0.6151
Update 162/488 | True Score: 778.17 | Optim Score: 729.67 | Std: 0.6096
Update 163/488 | True Score: 840.83 | Optim Score: 792.50 | Std: 0.6128
Update 164/488 | True Score: 917.43 | Optim Score: 871.71 | Std: 0.6182
Update 165/488 | True Score: 754.07 | Optim Score: 717.35 | Std: 0.6045
Update 166/488 | True Score: 806.45 | Optim Score: 757.69 | Std: 0.6094
Update 167/488 | True Score: 929.07 | Optim Score: 882.61 | Std: 0.6016
Update 168/488 | True Score: 855.92 | Optim Score: 807.08 | Std: 0.5955
