Starting Training: 488 updates expected.
Update 405/488 complete. Mean Reward: 672.13
Update 406/488 complete. Mean Reward: 487.95
Update 407/488 complete. Mean Reward: 657.40
Update 408/488 complete. Mean Reward: 633.91
Update 409/488 complete. Mean Reward: 322.61
Update 410/488 complete. Mean Reward: 735.80
Update 411/488 complete. Mean Reward: 559.25
Update 412/488 complete. Mean Reward: 697.70
Update 413/488 complete. Mean Reward: 488.04
Update 414/488 complete. Mean Reward: 275.39
Update 415/488 complete. Mean Reward: 502.06
Update 416/488 complete. Mean Reward: 651.52
Update 417/488 complete. Mean Reward: 410.85
Update 418/488 complete. Mean Reward: 687.79
Update 419/488 complete. Mean Reward: 639.70
Update 420/488 complete. Mean Reward: 752.96
Update 421/488 complete. Mean Reward: 555.05
Update 422/488 complete. Mean Reward: 322.56
Update 423/488 complete. Mean Reward: 580.03
Update 424/488 complete. Mean Reward: 542.50
Update 425/488 complete. Mean Reward: 652.90
Update 426/488 complete. Mean Reward: 598.73
Update 427/488 complete. Mean Reward: 474.05
Update 428/488 complete. Mean Reward: 676.71
Update 429/488 complete. Mean Reward: 644.03
Update 430/488 complete. Mean Reward: 665.42
Update 431/488 complete. Mean Reward: 413.49
Update 432/488 complete. Mean Reward: 618.30
Update 433/488 complete. Mean Reward: 550.27
Update 434/488 complete. Mean Reward: 585.97
Update 435/488 complete. Mean Reward: 487.83
Update 436/488 complete. Mean Reward: 719.15
Update 437/488 complete. Mean Reward: 773.37
Update 438/488 complete. Mean Reward: 531.54
Update 439/488 complete. Mean Reward: 631.91
Update 440/488 complete. Mean Reward: 530.57
Update 441/488 complete. Mean Reward: 760.01
Update 442/488 complete. Mean Reward: 759.87
Update 443/488 complete. Mean Reward: 829.33
Update 444/488 complete. Mean Reward: 735.83
Update 445/488 complete. Mean Reward: 372.04
Update 446/488 complete. Mean Reward: 637.55
Update 447/488 complete. Mean Reward: 731.91
Update 448/488 complete. Mean Reward: 518.36
Update 449/488 complete. Mean Reward: 714.40
Update 450/488 complete. Mean Reward: 653.92
Update 451/488 complete. Mean Reward: 840.18
Update 452/488 complete. Mean Reward: 420.11
Update 453/488 complete. Mean Reward: 743.75
Update 454/488 complete. Mean Reward: 614.30
Update 455/488 complete. Mean Reward: 576.55
Update 456/488 complete. Mean Reward: 531.82
Update 457/488 complete. Mean Reward: 764.18
Update 458/488 complete. Mean Reward: 450.48
Update 459/488 complete. Mean Reward: 728.05
Update 460/488 complete. Mean Reward: 566.69
Update 461/488 complete. Mean Reward: 487.55
Update 462/488 complete. Mean Reward: 709.16
Update 463/488 complete. Mean Reward: 576.72
Update 464/488 complete. Mean Reward: 578.63
Update 465/488 complete. Mean Reward: 431.23
Update 466/488 complete. Mean Reward: 859.23
Update 467/488 complete. Mean Reward: 794.63
Update 468/488 complete. Mean Reward: 627.97
Update 469/488 complete. Mean Reward: 719.99
Update 470/488 complete. Mean Reward: 782.91
Update 471/488 complete. Mean Reward: 533.13
Update 472/488 complete. Mean Reward: 783.65
Update 473/488 complete. Mean Reward: 805.78
Update 474/488 complete. Mean Reward: 671.45
Update 475/488 complete. Mean Reward: 817.39
Update 476/488 complete. Mean Reward: 830.30
Update 477/488 complete. Mean Reward: 563.90
Update 478/488 complete. Mean Reward: 848.84
Update 479/488 complete. Mean Reward: 612.32
Update 480/488 complete. Mean Reward: 816.76
Update 481/488 complete. Mean Reward: 761.09
Update 482/488 complete. Mean Reward: 648.20
Update 483/488 complete. Mean Reward: 705.34
Update 484/488 complete. Mean Reward: 709.72
Update 485/488 complete. Mean Reward: 592.80
Update 486/488 complete. Mean Reward: 726.46
Update 487/488 complete. Mean Reward: 679.73
Update 488/488 complete. Mean Reward: 780.33
Mean Reward: 834.9315068492976
